2460181.383333333 *   3.8175096837E+05  -0.3205350
2460181.384027778 *   3.8173173846E+05  -0.3202960
2460181.384722222 *   3.8171252304E+05  -0.3200523
2460181.385416667 *   3.8169332238E+05  -0.3198042
2460181.386111111 *   3.8167413674E+05  -0.3195515
2460181.386805556 *   3.8165496640E+05  -0.3192943
2460181.387500000 *   3.8163581164E+05  -0.3190326
2460181.388194445 *   3.8161667272E+05  -0.3187663
2460181.388888889 *   3.8159754991E+05  -0.3184956
2460181.389583333 *   3.8157844348E+05  -0.3182203
2460181.390277778 *   3.8155935372E+05  -0.3179406
2460181.390972222 *   3.8154028087E+05  -0.3176563
2460181.391666667 *   3.8152122522E+05  -0.3173675
2460181.392361111 *   3.8150218704E+05  -0.3170743
2460181.393055555 *   3.8148316659E+05  -0.3167766
2460181.393750000 *   3.8146416414E+05  -0.3164744
2460181.394444444 *   3.8144517996E+05  -0.3161677
2460181.395138889 *   3.8142621432E+05  -0.3158565
2460181.395833333 *   3.8140726749E+05  -0.3155409
2460181.396527778 *   3.8138833973E+05  -0.3152209
2460181.397222222 *   3.8136943132E+05  -0.3148963
2460181.397916667 *   3.8135054251E+05  -0.3145674
2460181.398611111 *   3.8133167358E+05  -0.3142340
2460181.399305556 *   3.8131282479E+05  -0.3138961
2460181.400000000 *   3.8129399641E+05  -0.3135538
2460181.400694444 *   3.8127518871E+05  -0.3132071
2460181.401388889 *   3.8125640194E+05  -0.3128560
2460181.402083333 *   3.8123763637E+05  -0.3125005
2460181.402777778 *   3.8121889228E+05  -0.3121405
2460181.403472222 *   3.8120016991E+05  -0.3117762
2460181.404166667 *   3.8118146955E+05  -0.3114075
2460181.404861111 *   3.8116279144E+05  -0.3110344
2460181.405555556 *   3.8114413586E+05  -0.3106569
2460181.406250000 *   3.8112550306E+05  -0.3102750
2460181.406944444 *   3.8110689331E+05  -0.3098888
2460181.407638889 *   3.8108830687E+05  -0.3094982
2460181.408333333 *   3.8106974401E+05  -0.3091032
2460181.409027778 *   3.8105120497E+05  -0.3087039
2460181.409722222 *   3.8103269003E+05  -0.3083003
2460181.410416667 *   3.8101419944E+05  -0.3078923
2460181.411111111 *   3.8099573347E+05  -0.3074800
2460181.411805556 *   3.8097729236E+05  -0.3070633
2460181.412500000 *   3.8095887639E+05  -0.3066424
2460181.413194444 *   3.8094048581E+05  -0.3062172
2460181.413888889 *   3.8092212088E+05  -0.3057876
2460181.414583333 *   3.8090378185E+05  -0.3053538
2460181.415277778 *   3.8088546899E+05  -0.3049157
2460181.415972222 *   3.8086718255E+05  -0.3044733
2460181.416666667 *   3.8084892278E+05  -0.3040266
2460181.417361111 *   3.8083068995E+05  -0.3035757
2460181.418055556 *   3.8081248430E+05  -0.3031205
2460181.418750000 *   3.8079430610E+05  -0.3026611
2460181.419444445 *   3.8077615559E+05  -0.3021975
2460181.420138889 *   3.8075803304E+05  -0.3017296
2460181.420833333 *   3.8073993869E+05  -0.3012575
2460181.421527778 *   3.8072187280E+05  -0.3007812
2460181.422222222 *   3.8070383561E+05  -0.3003007
2460181.422916667 *   3.8068582739E+05  -0.2998160
2460181.423611111 *   3.8066784838E+05  -0.2993271
2460181.424305555 *   3.8064989884E+05  -0.2988340
2460181.425000000 *   3.8063197902E+05  -0.2983368
2460181.425694444 *   3.8061408915E+05  -0.2978353
2460181.426388889 *   3.8059622950E+05  -0.2973298
2460181.427083333 *   3.8057840032E+05  -0.2968201
2460181.427777778 *   3.8056060184E+05  -0.2963063
2460181.428472222 *   3.8054283433E+05  -0.2957883
2460181.429166667 *   3.8052509802E+05  -0.2952662
2460181.429861111 *   3.8050739317E+05  -0.2947400
2460181.430555556 *   3.8048972001E+05  -0.2942097
2460181.431250000 *   3.8047207880E+05  -0.2936754
2460181.431944444 *   3.8045446979E+05  -0.2931369
2460181.432638889 *   3.8043689320E+05  -0.2925944
2460181.433333333 *   3.8041934930E+05  -0.2920478
2460181.434027778 *   3.8040183832E+05  -0.2914972
2460181.434722222 *   3.8038436050E+05  -0.2909425
2460181.435416667 *   3.8036691609E+05  -0.2903838
2460181.436111111 *   3.8034950533E+05  -0.2898210
2460181.436805556 *   3.8033212846E+05  -0.2892543
2460181.437500000 *   3.8031478572E+05  -0.2886836
2460181.438194444 *   3.8029747735E+05  -0.2881088
2460181.438888889 *   3.8028020359E+05  -0.2875301
2460181.439583333 *   3.8026296468E+05  -0.2869474
2460181.440277778 *   3.8024576085E+05  -0.2863608
2460181.440972222 *   3.8022859235E+05  -0.2857701
2460181.441666667 *   3.8021145941E+05  -0.2851756
2460181.442361111 *m  3.8019436227E+05  -0.2845771
2460181.443055556 *m  3.8017730115E+05  -0.2839747
2460181.443750000 *m  3.8016027631E+05  -0.2833684
2460181.444444444 *m  3.8014328796E+05  -0.2827582
2460181.445138889 *r  3.8012633635E+05  -0.2821441
2460181.445833333 *m  3.8010942171E+05  -0.2815262
2460181.446527778 *m  3.8009254427E+05  -0.2809043
2460181.447222222 *m  3.8007570426E+05  -0.2802786
2460181.447916667 *m  3.8005890191E+05  -0.2796491
2460181.448611111 *m  3.8004213746E+05  -0.2790157
2460181.449305556 *m  3.8002541113E+05  -0.2783785
2460181.450000000 *m  3.8000872315E+05  -0.2777375
2460181.450694445 *m  3.7999207375E+05  -0.2770927
2460181.451388889 *m  3.7997546316E+05  -0.2764442
2460181.452083333 *m  3.7995889161E+05  -0.2757918
2460181.452777778 *m  3.7994235931E+05  -0.2751357
2460181.453472222 *m  3.7992586650E+05  -0.2744758
2460181.454166667 *m  3.7990941340E+05  -0.2738122
